Question,Answer
Welche Produkte gibt es?,"KUNIBOO® bietet dir Babymode und Kleinkinderbekleidung für den täglichen Bedarf – hier findest du in wechselnden Aktionswochen alle gängigen Basics wie Bodys, T-Shirts und Schlupfhosen, aber auch Mode in besonderen Designvarianten. Außerdem gibt es für Kinder von null bis drei Jahren klimaneutrales Holzspielzeug, Fläschchen und Schnuller sowie verschiedene Sicherheitsartikel. Alle Artikel von KUNIBOO® verbindet der günstige Preis – weil wir finden, dass jedes Kind hochwertige Produkte und eine gute Qualität verdient hat."
In welcher Form erfolgt die Qualitätssicherung bei den Textilien?,"Wir legen bei unserer Marke KUNIBOO® Wert auf hohe Qualität bei Material und Verarbeitung sowie auf die Einhaltung der gesetzlich vorgeschriebenen Grenzwerte für chemische und physikalische Eigenschaften. Durch regelmäßige Beobachtungen der Gesetzeslage stellen wir sicher, dass unsere Anforderungen aktuell sind. So sind zum Beispiel ein Großteil der Textilien GOTS-zertifiziert und aus Bio-Baumwolle hergestellt."
Worauf achten wir besonders bei unseren KUNIBOO® Spielwaren?,"Wir möchten den natürlichen Spieltrieb von Kindern unterstützen und die Motorik sowie die Wahrnehmung fördern. Daher legen wir besonders viel Wert auf die Auswahl der Formen, Farben und Materialien."
In welcher Form erfolgt die Qualitätssicherung bei den Textilien?,"Wir legen bei unserer Marke KUNIBOO® Wert auf hohe Qualität bei Material und Verarbeitung, sowie auf die Einhaltung der gesetzlich vorgeschriebenen Grenzwerte für chemische und physikalische Eigenschaften. Durch regelmäßige Beobachtungen der Gesetzeslage stellen wir sicher, dass unsere Anforderungen aktuell sind. Zudem ist ein Großteil unserer Textilien GOTS- oder OCS-zertifiziert und aus Bio-Baumwolle hergestellt."
Wo werden die Produkte hergestellt?,"Das Herstellungsland unserer Babymode und Kleinkinderbekleidung wird auf dem Etikett angegeben. Wir arbeiten mit erfahrenen Produzenten zusammen und kontrollieren die Produkte regelmäßig nach eigenen hohen Qualitätskriterien. Meistens wird die Produktion durch unsere Qualitätsmanager direkt vor Ort überwacht, zusätzlich werden alle Textilprodukte von unabhängigen Prüfinstituten untersucht."
Wodurch unterscheidet sich KUNIBOO® vom Wettbewerb?,"Für das große Abenteuer Leben braucht es von Anfang an die richtigen Zutaten. Viel Liebe und Geduld, genauso wie gute und strapazierfähige Kleidung, die alles mitmacht. Mit viel Freude haben wir schon in der Entwicklung Wert darauf gelegt, dass alles passt. Von der Materialauswahl über die Praktikabilität bis hin zu modischen Impulsen für die ganz Kleinen. Bei Kaufland achten wir auf überzeugende Qualität zu günstigen Preisen. So besteht z.B. ein Großteil der Textilien in unserem Angebot aus Biobaumwolle, die Ware ist anfassbar und nachhaltig verpackt und die Artikel sind immer modisch, robust und praktisch im täglichen Gebrauch."
"Was kann ich tun, wenn ich mit meinem KUNIBOO®-Produkt nicht zufrieden bin?","Wie bei allen anderen Artikeln gilt in diesem Fall: Solltest du mit einem Artikel nicht zufrieden sein, stehen wir selbstverständlich zu unserer Garantie: „Ohne viel Worte – Geld zurück!“. Der Kaufpreis wird dir dann beim nächsten Einkauf an der Information des Marktes erstattet."
Was zeichnet Bio-Baumwolle aus?,"Bio-Baumwolle wird nach den Richtlinien des ökologischen Landbaus produziert, dabei ist der Einsatz von Schadstoffen, wie chemische Pestiziden und Düngemitteln, strengstens verboten. Bio-Baumwolle wird von Hand geerntet, dadurch wird auf die Verwendung von chemischen Entlaubungsmitteln, welche bei einer maschinellen Ernte eingesetzt werden, verzichtet. Dank der abwechselnden Bebauung mit anderen Pflanzenarten, wird zum Erhalt der natürlichen Bodenfruchtbarkeit beigetragen und gleichzeitig kann die Anfälligkeit für Pflanzenkrankheiten und -schädlingen reduziert werden. Somit trägt Bio-Baumwolle zum Erhalt der Gesundheit der Böden, der Natur und der Menschen, die sie anbauen, bei."
Welche Standards gibt es beim ökologischen Baumwollanbau?,"Zur Zertifizierung von Bio-Baumwolle werden offizielle Standards oder Zertifikate, wie der Organic Content Standard (OCS) oder Global Organic Textile Standard (GOTS) verwendet. Unter allen Zertifizierungssystemen ist GOTS der am höchsten anerkannte Standard zur Zertifizierung von nachhaltigen Textilien. Wir bei Kaufland arbeiten mit GOTS zusammen, um eine umweltverträgliche und sozial verantwortliche Textilproduktion sicherzustellen."
Woher holen wir unsere Inspiration für die Designs?,"Unsere Fachspezialisten sind ständig auf der Suche nach neuen Inspirationen. Seien es Fachmessen, Trend-Schulungen oder Wettbewerbsbeobachtungen, wir nutzen jede Möglichkeit für neue Ideen. Wir kombinieren natürliche Stoffe mit farbenfrohen und aktuellen Mustern, und achten gleichzeitig darauf, dass die Produkte komfortabel und praktisch für den Alltag bleiben."
Woher kommen die Altersangaben auf den Verpackungen der KUNIBOO®-Produkte?,"Die Altersangaben auf unseren Verpackungen sollen dir eine Hilfe sein, um das passende Kleidungsstück in der richtigen Größe für dein Baby zu finden. Bei dem angegeben Alter handelt es sich natürlich nur um einen Richtwert, der sich aus den durchschnittlichen Körpermaßen im jeweiligen Alter ergibt. Bei den Größenangaben richten wir uns nach standardisierten Größentabellen."
Wofür steht das STANDARD 100 by OEKO-TEX®-Label?,"Der STANDARD 100 by OEKO-TEX® ist ein weltweit einheitliches und unabhängiges Zertifizierungssystem für Textilprodukte in allen Verarbeitungsstufen. Die Schadstoffprüfungen berücksichtigen wichtige gesetzliche Reglementierungen, gesundheitsbedenkliche Chemikalien, sowie diverse Parameter zur Gesundheitsvorsorge. Die angewendeten Kriterien gehen dabei über nationale und internationale geltenden Vorgaben hinaus. Voraussetzung für die Zertifizierung des STANDARD 100 by OEKO-TEX® Labels ist, dass sämtliche Bestandteile eines Artikels, also auch nichttextiles Zubehör wie Knöpfe oder Reißverschlüsse, die strengen, weltweit geltenden Anforderungen erfüllen. Weitere Informationen: www.oeko-tex.com"
Welche Vorteile bieten die KUNIBOO®-Produkte?,"Wir legen bei unserer Marke KUNIBOO® Wert auf hohe Qualität bei Material und Verarbeitung, sowie auf die Einhaltung der gesetzlich vorgeschriebenen Grenzwerte für chemische und physikalische Eigenschaften. Die größtenteils verwendete Bio-Baumwolle ist angenehm weich auf der Haut und dank der hohen Saugfähigkeit feuchtigkeitsregulierend. Da es sich hierbei um eine Naturfaser handelt, hat sie ein geringeres Allergienpotenzial und ist dabei atmungsaktiv und strapazierfähig. Aus Baumwolle hergestellte Produkte zeichnen sich außerdem durch ihre Langlebigkeit aus, bleiben dabei aber pflegeleicht."
Wie erkenne ich die Biere von STEPHANS BRÄU?,Die vielfältigen Biere unserer Eigenmarke STEPHANS BRÄU erkennen Sie ganz einfach am Logo.
Wie erkenne ich den Unterschied zwischen den Sorten?,"Das Pils hat ein dunkelgrünes, Export ein rotes und Radler ein hellgrünes Etikett."
Welche Biere beinhaltet das Sortiment von STEPHANS BRÄU?,"Das Sortiment beinhaltet Pils, Export und Naturradler."
Was ist SWITCH ON®?,"SWITCH ON® ist unsere eingetragene Eigenmarke für Elektrogeräte im Bereich der Unterhaltungs- und Haushaltselektronik, die exklusiv nur bei Kaufland erhältlich ist. Unsere Produkte sind für den privaten Haushalt ausgelegt und werden weit über die gesetzlichen Richtlinien hinaus getestet."
Wie erkenne ich die SWITCH ON®-Produkte?,"Alle unsere Artikel von SWITCH ON® können Sie an dem SWITCH ON®-Logo auf den Verpackungen erkennen – entdecken Sie die garantierte, kontrollierte Qualität zum Discountpreis."
In welcher Form erfolgt die Qualitätssicherung bei den Artikeln?,"Wir legen bei unserer Marke SWITCH ON® Wert auf hohe Qualität in Material und Verarbeitung sowie auf die Einhaltung unserer Anforderungen an chemische und physikalische Eigenschaften. Unsere Anforderungen sind strenger geregelt, als die vom Gesetzgeber geforderten. Durch regelmäßige Beobachtungen der Gesetzeslage sind unsere Anforderungen stets auf dem neuesten Stand. Darüber hinaus kontrollieren wir die Produkte regelmäßig nach unseren hohen Qualitätskriterien. Die Produktion untersteht einer kontinuierlichen Überprüfung und wird durch unsere oder beauftragte Qualitätsmanager direkt vor Ort überwacht, zusätzlich werden unsere Produkte von akkreditierten Prüfinstituten getestet."
Wo werden die Produkte hergestellt?,"Produkte von SWITCH ON® werden je nach Artikel weltweit produziert. Dabei verlassen wir uns auf Produzenten, mit denen wir eine jahrelange und enge Lieferantenbeziehung führen. Darüber hinaus kontrollieren wir die Produkte regelmäßig nach unseren hohen Qualitätskriterien. Die Produktion wird durch unsere oder beauftragte Qualitätsmanager direkt vor Ort überwacht, zusätzlich werden unsere Produkte von akkreditierten Prüfinstituten getestet."
Warum steht auf den Produkten von SWITCH ON® „Exclusively by Kaufland”?,Wir von Kaufland stehen zu unseren Produkten und ihrer Qualität. Dafür definieren wir selbst die hohen Anforderungen mit unseren Qualitätsmanagern und tragen die volle rechtliche Verantwortung. Deshalb treten wir auf SWITCH ON®-Produkten auch klar erkennbar als Absender in Erscheinung.
Elektrogarantie,"Mit SWITCH ON® entscheiden Sie sich für beste Markenqualität. Darüber hinaus gewähren wir Ihnen auf Artikel mit Netzstecker und/oder integriertem Akku eine Garantie von drei Jahren ab Kaufdatum – also deutlich länger, als vom Gesetzgeber vorgeschrieben."
"Was kann ich tun, wenn ich mit meinem SWITCH ON®-Produkt nicht zufrieden bin?","Wie bei allen Artikeln von Kaufland gilt auch in diesem Fall: Sollten Sie mit einem Artikel nicht zufrieden sein, stehen wir selbstverständlich zu unserer Garantie: „Ohne viel Worte – Geld zurück!“ Der Kaufpreis wird Ihnen dann beim nächsten Einkauf an der Information des Marktes erstattet. Diesen Service können Sie drei Monate in Anspruch nehmen gegen Vorlage des Kassenbons."
Wie wird die Qualität der SWITCH ON®-Produkte sichergestellt?,"Wir lassen alle unsere SWITCH ON®-Produkte von renommierten, unabhängigen und akkreditierten Instituten, wie zum Beispielt TÜV Rheinland /TÜV SÜD, nach festgelegten Kriterien prüfen hinsichtlich: Funktionalität Dauerhaftigkeit Benutzerfreundlichkeit geprüfter Sicherheit"
Wo finde ich Bedienungsanleitungen zu den Geräten von SWITCH ON®?,"Sie haben die Bedienungsanleitung Ihres Gerätes von SWITCH ON® nicht zur Hand? Kein Problem, in unserer Rubrik Anleitungen haben wir alle Bedienungsanleitungen von SWITCH ON® für Sie zusammengestellt."
Alle Informationen zu Kaufland Foto finden Sie auf www.kaufland-foto.de.,Zu kaufland-foto.de
Alle Informationen zu unserer Mobilfunkmarke KAUFLAND MOBIL finden Sie im Hilfe- und Service-Bereich auf kaufland-mobil.de.,"Zu kaufland-mobil.de/service . Übrigens: Unsere Mobilfunkmarke K-Classic Mobil wurde eingestellt. Die gute Nachricht ist, wir haben mit KAUFLAND MOBIL eine Neue mit der wir telefonieren und surfen in bester D-Netz-Qualität möglich machen."
Was ist MYPROJECT®?,"MYPROJECT® ist die Kfz-Eigenmarke von Kaufland, unter der Sie zahlreiche Artikel rund ums Auto erhälten. Langlebige Materialien und GS geprüfte Artikel sorgen für Sicherheit und ein gutes Gefühl – bei jeder Fahrt."
Was für Produkte findet man unter MYPROJECT®?,"Bei MYPROJECT® finden Sie zahlreiche Verbrauchsartikel für Ihr Auto, von Motorenöl und Reinigungsmitteln bis hin zu sicherheitsrelevanten Produkten und Zubehör für die Innenausstattung."
"Was kann ich tun, wenn ich mit meinem MYPROJECT®-Produkt nicht zufrieden bin?","Wie bei allen Artikeln von Kaufland stehen wir selbstverständlich zu unserer Garantie, sollten Sie mit einem Artikel nicht zufrieden sein: „Ohne viel Worte – Geld zurück!“ Der Kaufpreis wird Ihnen dann beim nächsten Einkauf an der Information der Filiale erstattet."
Sind Light-Produkte gesünder als normale Nahrungsmittel?,"Light-Produkte sind nicht gesünder als normale Produkte. Für alle die abnehmen möchten, stellen sie aber eine gute Alternative dar. Sie sollten jedoch beachten, dass Sie von diesen Produkten nicht die doppelte Menge essen, denn zu hoher Konsum hebt die „Light“-Wirkung auf. Als Light-Produkte dürfen nur Produkte bezeichnet werden, die 40 Prozent weniger Kalorien haben als vergleichbare Artikel. Auch Produkte, die weniger Fett, Zucker oder Alkohol enthalten, werden häufig mit dem Zusatz „Light"" gekennzeichnet."
Was sind Nährwerte?,"Nährwerte geben die Nährstoffe in Lebensmitteln an. Auf Verpackungen werden hauptsächlich die so genannten „Big Four“, also Brennwert, Kohlenhydrate, Eiweiß – auch Proteine genannt – und Fette aufgelistet. Der Brennwert ist die Energie, die der Körper mit der Nahrung aufnimmt. Sie wird in Kilojoule (kJ) oder Kilokalorien (kcal) pro 100 g oder pro 100 ml angegeben. Kohlenhydrate, zu denen auch Zucker gehört, sind die größte Energiequelle für den Körper. Im Gegensatz zu Fetten sind sie schnell verwertbar. Fruchtzucker oder Milchzucker beispielsweise gehören zu den Kohlenhydraten. Eiweiße bestehen aus Aminosäuren und sind für den Aufbau von Zellen notwendig. Gute Eiweißquellen sind Fisch, Fleisch, Eier und Milchprodukte. Fette sind auch Energielieferanten. Daneben dienen sie als Lösungsmittel für nur schwer lösliche Stoffe wie Vitamine, als Schutzpolster für die inneren Organe und das Nervensystem und als Isolation gegen Kälte. Außerdem sind sie ein Bestandteil von Zellmembranen. Fette nehmen wir hauptsächlich durch Fleischprodukte und pflanzliche Öle zu uns."
Worauf sollte ich bei Nährwerten achten?,"Der Körper braucht eine bestimmte Menge an Nährstoffen pro Tag. Diese wandelt er in Energie um. Für einen durchschnittlichen Erwachsenen sind das zirka 2.000 Kilokalorien (kcal) pro Tag. Davon sollten 55 Prozent Kohlenhydrate (1.100 kcal), 15 Prozent Eiweiß (300 kcal) und 30 Prozent Fett (600 kcal) sein. Eine zu hohe Energiezufuhr führt zu Übergewicht; eine zu geringe Zufuhr führt zu Gewichtsverlust. Der so genannte „Guideline Daily Amount“ – kurz „GDA“ – ist ein Richtwert für die Tageszufuhr von Energie und Nährstoffen, die wir mit der Nahrung aufnehmen. Auf Verpackungen gibt der GDA an, wie viel Prozent des Tagesbedarfs durch den Verzehr des Lebensmittels aufgenommen werden. Sie sollten jedoch beachten, dass die Nährwertangaben meistens in Kilojoule oder Kilokalorien pro 100 g angegeben werden und nicht pro Portion."
Wie groß ist eine Portion?,"Die Angaben in der Nährwertinformation beziehen sich auf eine definierte Portion. Die Ernährungswissenschaftler von K-Classic und K-Bio haben diese für jedes einzelne Produkt festgelegt. Maßgeblich waren dabei die Verzehrgewohnheiten eines durchschnittlichen Erwachsenen sowie die Entscheidung für bewussten Genuss. Wenn bei einzelnen Produkten eine Portionsgröße nur sehr schwer oder gar nicht zu definieren war, wurde auf 100 g beziehungsweise 100 ml zurückgegriffen. Die Portionsgröße bezieht sich in der Regel auf das zubereitete Produkt. So weisen 100 g Nudeln im rohen und gekochten Zustand abweichende Kaloriengehalte auf, da Nudeln beim Kochen Wasser aufnehmen. Wo immer es der Platz auf der Verpackung zulässt, werden deshalb in der Nährwerttabelle auf der Rückseite die Angaben zwischen zubereitetem und ungekochtem Produkt unterschieden."
Haben Kinder den gleichen Energie- und Nährstoffbedarf wie Erwachsene?,"Die von Wissenschaftlern erarbeiteten Orientierungswerte sind Empfehlungen für Erwachsene. Kinder haben in ihrer jeweiligen Entwicklungsphase abhängig von Alter, Geschlecht, körperlicher Aktivität und Größe einen ganz individuellen Energie- und Nährstoffbedarf. Bei Kindern ist deshalb wichtig, auf eine abwechslungsreiche, gesunde Ernährung und viel Bewegung zu achten. So sorgen Sie für eine ausgewogene Versorgung mit allen wichtigen Nährstoffen, Vitaminen und Mineralien und unterstützen das Erlernen eines gesunden Lebensstils."
Alle Informationen zu Kaufland als Arbeitgeber finden Sie in den häufigen Fragen unseres Arbeitgeberaufritts.,Zu karriere.kaufland.de
Wie lauten die Standortbedingungen für eine Kaufland-Filiale?,Sie finden die spezifischen Expansionsanforderungen zu jedem Expansionsland auf unserer Internetseite: Zu unseren Standortbedingungen
Wohin schicke ich meine Angebote für Immobilien oder Grundstücke?,Sie finden für Ihre Angebote die entsprechenden Ansprechpartner und Anschriften für jedes Expansionsland auf unserer Internetseite: Zur Immobilienkontaktseite
"Gibt es Standortlisten über Städte, Gemeinden oder Regionen in denen Sie bevorzugt expandieren möchten?","Nein, wir expandieren in ganz Deutschland, Polen, Tschechien, Slowakei, Rumänien, Bulgarien, Kroatien und Republik Moldau. Da es viele Möglichkeiten für einen neuen Kaufland-Markt gibt, beziehungsweise sich die Rahmenbedingungen auch ändern können, möchten wir Sie bitten, uns passende Angebote zur näheren Prüfung unabhängig von der Stadt zuzusenden. Die Adresse und unsere spezifischen Expansionsanforderungen erfahren Sie auf unserer Internetseite. Zur Immobilienentwicklung"
Welche Informationen benötigen Sie von einem Mietinteressenten?,"Wir benötigen Ihre Kontaktdaten und Ihr Einzelhandels- beziehungsweise Dienstleistungskonzept. Informationen über Sortiment, Ladengestaltung und Mitarbeiter runden unseren ersten Eindruck ab. Zur Vermietung"
Nach welchen Kriterien wählen Sie einen Mieter aus?,Im Fokus stehen regionale Spitzenanbieter als Ergänzung zum SB-Warenhaus sowie haushaltsnahe Dienstleistungen bis hin zu überregionalen und internationalen Anbietern im Fachmarktbereich. Zur Vermietung
Wie hoch ist der Mietzins für eine Mietfläche?,Der Mietzins orientiert sich am erzielten Umsatz und an der Frequenz des Standortes. Hierbei wird nach Branchen differenziert. Zur Vermietung
Muss der Mieter bei der Anmietung eine Provision bezahlen?,"Nein, wir vermieten provisionsfrei. Zur Vermietung"
Ich habe eine Spendenbitte. An wen kann ich mich wenden?,"Bitte richten Sie Ihre Spendenbitte an info@kaufland.de . Bitte haben Sie Verständnis, dass wir aufgrund der zahlreichen Anfragen nicht allen Spendenbitten nachkommen können und die Prüfung etwas Zeit in Anspruch nimmt."
Ist Kaufland auch im Ausland mit Filialen vertreten?,"Ja, Sie finden auch Filialen von uns in Polen, Tschechien, Rumänien, der Slowakei, Bulgarien, Kroatien und der Republik Moldau. Zu kaufland.com"
Gibt es Kaufland-Geschenkkarten?,"Ja, die Kaufland-Geschenkkarte ist an jeder Kasse unserer Kaufland-Filialen in Deutschland erhältlich und einlösbar. Sie erhalten die Kaufland-Geschenk-Karte im Wert zwischen 1.- und maximal 100.- Euro. Sie möchten das Guthaben einer Kaufland-Geschenkkarte abfragen oder online Geschenkkarten bestellen? Dann besuchen Sie unsere Seite: Zu www.giftcard.kaufland.com"
Was ist KIDLAND®?,"KIDLAND® ist unsere exklusive Spielwarenmarke, die sie an alle richtet, die Wert auf sicheres und durchdachtes Spielzeug zum günstigen Preis legen. KIDLAND® erhalten Sie exklusiv bei Kaufland."
Welche Produkte gibt es?,Das Sortiment von KIDLAND® umfasst Spielwaren für alle Altersgruppen und aus den verschiedensten Kategorien.
Worauf achten wir besonders bei unseren KIDLAND®-Produkten?,"Wir möchten den natürlichen Spieltrieb Ihres Kindes unterstützen und gleichzeitig die Motorik sowie die Wahrnehmung fördern. Daher legen wir besonders viel Wert auf die Auswahl der Formen, Farben und Materialien."
In welcher Form erfolgt die Qualitätssicherung bei KIDLAND®?,"Wir legen bei unserer Eigenmarke KIDLAND® Wert auf hohe Qualität und erfüllen alle Anforderungen des Gesetzgebers oder setzen eigene, höhere Standards. Wir überprüfen die Umsetzung unserer Standards zum einen durch unsere Qualitätsmanager, die zum Teil die Produktion direkt vor Ort begleiten, und nutzen darüber hinaus die Expertise unabhängiger Institute. Alle KIDLAND®-Produkte überzeugen durch ausgewählte Materialien, gute Verarbeitung, optimale Haltbarkeit und Funktionalität."
Wo werden die Produkte hergestellt?,Wir arbeiten mit erfahrenen Produzenten zusammen. Das Herstellungsland der KIDLAND®-Artikel wird auf den Verpackungen angegeben.
Warum steht auf den KIDLAND®-Produkten „Exclusively by Kaufland“?,"Wir von Kaufland bestimmen selbst das Markenkonzept von KIDLAND® und definieren die Anforderungen an die Produkte, ihre Qualität und Verpackung. Wir übernehmen die volle rechtliche Verantwortung. Deshalb sind wir auf KIDLAND®-Produkten als Hersteller genannt."
"Was kann ich tun, wenn ich mit meinem KIDLAND®-Produkt nicht zufrieden bin?","Wie bei allen anderen Artikeln gilt in diesem Fall: Sollten Sie mit einem Artikel nicht zufrieden sein, stehen wir selbstverständlich zu unserer Garantie: „Ohne viel Worte – Geld zurück!“. Der Kaufpreis wird Ihnen dann beim nächsten Einkauf an der Information des Marktes erstattet."
Was ist NEWCENTIAL®?,"NEWCENTIALl® ist die frische, dynamische Eigenmarke für Sportbekleidung und Gebrauchsartikel von Kaufland. Mit Artikeln wie Sportzubehör und -geräten richten wir uns an alle aktiven Sportler und bieten ihnen qualitativ hochwertige, funktionale und trendige Sportbekleidung und Accessoires zum kleinen Preis."
Welche Produkte gibt es?,"Von funktionaler Sportbekleidung wie T-Shirts, Leggings, Shorts oder Schuhe bis hin zu Sportgeräten und Zubehör – NEWCENTIAL® bietet Ihnen eine große Auswahl. Die Kleidungsstücke überzeugen durch ihre Funktionalität, Robustheit, Feuchtigkeitsregulierung, Atmungsaktivität und ideale Passform. So sind Sie mit moderner Funktionsbekleidung bestens für jede sportliche Herausforderung gerüstet."
Was bedeuten die unterschiedlichen Farben der NEWCENTIAL®-Verpackungen?,"Die unterschiedlichen Farben dienen zur leichteren Orientierung und führen Sie durch die breite Auswahl der Sportkategorien wie Yoga, Laufen, Fitness, Trekking oder Fahrrad."
In welcher Form erfolgt die Qualitätssicherung bei den Textilien?,"Wir legen bei unserer Marke NEWCENTIAL® Wert auf hohe Qualität in Material und Verarbeitung sowie auf die Einhaltung unserer definierten Anforderungen an chemische und physikalische Eigenschaften. Durch regelmäßige Beobachtungen der Gesetzeslage sind unsere Anforderungen stets auf dem neuesten Stand. Wir überprüfen die Umsetzung unserer Standards zum einen durch unsere Qualitätsmanager, die in der Regel die Produktion direkt vor Ort begleiten, und nutzen darüber hinaus die Expertise unabhängiger Institute bei der kontinuierlichen Überprüfung der Qualität unserer Produkte."
Wo werden die Produkte hergestellt?,"Das Herstellungsland der Artikel der Marke NEWCENTIAL® wird auf dem Etikett angegeben. Wir arbeiten mit erfahrenen Produzenten zusammen und kontrollieren die Produkte regelmäßig nach eigenen hohen Qualitätskriterien. In der Regel wird die Produktion durch unsere Qualitätsmanager direkt vor Ort überwacht, zusätzlich untersuchen unabhängige Prüfinstitute unsere Textilprodukte."
Warum steht auf den NEWCENTIAL®-Produkten „Exclusively by Kaufland“?,Wir von Kaufland stehen zu unseren Produkten und ihrer Qualität. Dafür definieren wir selbst die hohen Anforderungen mit unseren Qualitätsmanagern und tragen die volle rechtliche Verantwortung. Deshalb treten wir auf NEWCENTIAL®-Produkten auch klar erkennbar als Absender in Erscheinung.
"Was kann ich tun, wenn ich mit meinem NEWCENTIAL®-Produkt nicht zufrieden bin?","Wie bei allen Artikeln von Kaufland stehen wir selbstverständlich zu unserer Garantie, sollten Sie mit einem Artikel nicht zufrieden sein: „Ohne viel Worte – Geld zurück!“. Der Kaufpreis wird Ihnen dann beim nächsten Einkauf an der Information des Marktes erstattet."
Wofür steht das GOTS-Siegel?,"Der Global Organic Textile Standard (GOTS) ist ein weltweit geltender Standard in der Textilindustrie, der sich für eine umweltverträgliche und sozial verantwortliche Textilproduktion einsetzt. Er definiert umwelttechnische Anforderungen entlang der gesamten textilen Produktionskette und fordert gleichzeitig die Einhaltung von Sozialkriterien. Das Siegel kennzeichnet Textilprodukte, die mindestens aus 70 Prozent biologisch erzeugten Naturfasern bestehen. Alle eingesetzten chemischen Zusätze, wie zum Beispiel Farbstoffe und Hilfsmittel, müssen bestimmte umweltrelevante und toxikologische Kriterien erfüllen. Auch soziale Mindeststandards sind Teil des Standards und werden überprüft. Weitere Informationen unter www.global-standard.org ."
Wofür steht das OEKO-TEX®-Siegel?,"Der STANDARD 100 by OEKO-TEX® ist ein weltweit einheitliches und unabhängiges Zertifizierungssystem für Textilprodukte in allen Verarbeitungsstufen. Die Schadstoffprüfungen berücksichtigen wichtige gesetzliche Reglementierungen, gesundheitsbedenkliche Chemikalien sowie diverse Parameter zur Gesundheitsvorsorge. Die angewendeten Kriterien gehen dabei über nationale und internationale geltenden Vorgaben hinaus. Voraussetzung für die Zertifizierung mit dem STANDARD 100-Label ist, dass sämtliche Bestandteile eines Artikels, also auch nichttextiles Zubehör wie Knöpfe oder Reißverschlüsse, die strengen, weltweit geltenden Anforderungen erfüllen. Weitere Informationen: www.oeko-tex.com"
Woher bekommen wir unsere Inspiration für die Designs?,"Unsere internen Produktmanager und Designer sind ständig auf der Suche nach neuen Inspirationen. Seien es Fachmessen, Trend-Schulungen, Storechecks oder Wettbewerbsbeobachtungen, wir nutzen jede Möglichkeit für neue Ideen. Wir kombinieren funktionale Stoffe mit trendigen Designs und achten gleichzeitig darauf, dass die Produkte komfortabel sind und genug Bewegungsfreiraum bieten."
Wie wasche ich die NEWCENTIAL®-Produkte?,"NEWCENTIAL®-Artikel sind sehr pflegeleicht. Vor der Produktion werden unsere Produkte mehrmaligen Waschtests unterzogen, um die Qualität sicherzustellen. Alle Pflegehinweise zum jeweiligen Artikel finden Sie immer auf dem Pflegeetikett."
Stimmen die Größenangaben von NEWCENTIAL®-Produkten mit anderen Herstellern überein?,"Wir bei Kaufland richten uns bei allen Größenangaben nach standardisierten Größentabellen und arbeiten eng mit dem Hohenstein Institut zusammen, um eine perfekte Passform zu gewährleisten. Das Hohenstein Institut ist ein anerkanntes Prüflabor und Forschungsinstitut, welches sich auf Textilien und deren Zertifizierung spezialisiert. Bei unseren Überprüfungen werden alle Produkte mit den Vorgaben der Hohenstein-Maßtabellen abgeglichen, zusätzlich erfolgt eine Beurteilung der schnitt- und verarbeitungstechnischen Aspekte der Kleidungsstücke und Schuhe."
Was ist OYANDA®?,"OYANDA® ist die modische, frische Eigenmarke für Damenkleidung und Accessoires von Kaufland. Wir richten uns an modeinteressierte, trendorientierte Frauen jeder Altersgruppe, die gute Qualität und Nachhaltigkeit erwarten und sich gerne inspirieren lassen. OYANDA® ist die perfekte Begleiterin – im Alltag und für besondere Momente."
Welche Produkte gibt es?,"Von beständigen Basics über lockere Casualwear bis hin zu trendigen und saisonalen Looks, OYANDA® bietet Ihnen eine große Auswahl. Unser Sortimentsschwerpunkt liegt auf Unterwäsche-Artikeln und Strumpfwaren. Darüber hinaus ergänzen unsere regelmäßigen Werbeaktionen das Sortiment und bringen weitere Produkt- und Designvarianten mit, wobei gezielt auf die aktuellsten Trends eingegangen wird."
Was bedeuten die unterschiedlichen Farben der OYANDA® -Verpackungen?,"Die unterschiedlichen Farbcodes dienen zu einer leichteren Orientierung und führen mit den Kategorien Basics, Premium, Strumpfwaren und Wäsche durch das breite Sortiment aus Klassikern und Trends."
In welcher Form erfolgt die Qualitätssicherung bei den Textilien?,"Wir legen bei unserer Marke OYANDA® Wert auf hohe Qualität in Material und Verarbeitung sowie auf die Einhaltung unserer definierten Anforderungen an chemische und physikalische Eigenschaften. Durch regelmäßige Beobachtungen der Gesetzeslage sind unsere Anforderungen stets auf den neuesten Stand. Wir überprüfen die Umsetzung unserer Standards zum einen durch unsere Qualitätsmanager, die in der Regel die Produktion direkt vor Ort begleiten, und nutzen darüber hinaus die Expertise unabhängiger Institute bei der kontinuierlichen Überprüfung unserer Produkte."
Wo werden die Produkte hergestellt?,"Das Herstellungsland der Artikel der Marke OYANDA® wird auf dem Etikett angegeben. Wir arbeiten mit erfahrenen Produzenten zusammen und kontrollieren die Produkte regelmäßig nach eigenen hohen Qualitätskriterien. In der Regel wird die Produktion durch unsere Qualitätsmanager direkt vor Ort überwacht, zusätzlich werden unsere Textilprodukte von unabhängigen Prüfinstituten untersucht."
Warum steht auf den OYANDA® -Produkten „Exclusively by Kaufland“?,Wir von Kaufland stehen zu unseren Produkten und ihrer Qualität. Dafür definieren wir selbst die hohen Anforderungen mit unseren Qualitätsmanagern und tragen die volle rechtliche Verantwortung. Deshalb treten wir auf OYANDA®-Produkten auch klar erkennbar als Absender in Erscheinung.
